time,ths_code,alpha_2,alpha_3,alpha_4,alpha_6,alpha_9,alpha_10,alpha_12,alpha_13,alpha_16,alpha_23
2026-03-02T09:30:00.000000000,000158.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000159.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000166.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000301.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000333.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000338.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000400.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000401.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000402.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000403.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000404.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000407.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000408.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000409.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000410.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000411.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000415.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000417.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000419.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000420.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000421.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000422.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000423.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000425.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000426.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000428.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000429.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000430.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000488.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000498.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000501.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000503.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000504.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000505.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000506.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000507.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000509.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000510.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000513.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000514.SZ,,,-1.0,,,,,,,
2026-03-02T09:30:00.000000000,000516.SZ,,,-1.0,,,,,,,
