time,ths_code,alpha_1,alpha_2,alpha_3,alpha_4
2026-03-02T09:30:00.000000000,000001.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000002.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000004.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000006.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000007.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000008.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000009.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000010.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000011.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000012.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000014.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000016.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000017.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000019.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000020.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000021.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000025.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000026.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000027.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000028.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000029.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000030.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000031.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000032.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000034.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000035.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000036.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000037.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000039.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000042.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000045.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000048.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000049.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000050.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000055.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000056.SZ,2735.0,,,-1.0
2026-03-02T09:30:00.000000000,000058.SZ,2735.0,,,-1.0
